"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2019","6,232.80","6,285.00","6,285.00","6,221.10","638.83M","-0.83%"
"04/05/2019","6,181.30","6,232.80","6,232.80","6,169.80","494.45M","-0.83%"
"04/08/2019","6,221.40","6,181.30","6,221.40","6,181.30","502.37M","0.65%"
"04/09/2019","6,221.80","6,221.40","6,228.90","6,203.70","539.39M","0.01%"
"04/10/2019","6,223.50","6,221.80","6,235.40","6,199.30","452.94M","0.03%"
"04/11/2019","6,198.70","6,223.50","6,223.50","6,184.00","499.27M","-0.40%"
"04/12/2019","6,251.30","6,198.70","6,251.30","6,198.70","518.93M","0.85%"
"04/15/2019","6,251.40","6,251.30","6,259.40","6,238.90","468.75M","0.00%"
"04/16/2019","6,277.40","6,251.40","6,282.80","6,237.60","536.85M","0.42%"
"04/17/2019","6,256.40","6,277.40","6,286.00","6,249.60","569.59M","-0.33%"
"04/18/2019","6,259.80","6,256.40","6,280.40","6,248.20","564.41M","0.05%"
"04/23/2019","6,319.40","6,259.80","6,321.70","6,259.80","539.30M","0.95%"
"04/24/2019","6,382.10","6,319.40","6,390.50","6,319.40","660.66M","0.99%"
"04/26/2019","6,385.60","6,382.10","6,388.20","6,362.30","553.48M","0.05%"
"04/29/2019","6,359.50","6,385.60","6,385.60","6,348.00","469.43M","-0.41%"
"04/30/2019","6,325.50","6,359.50","6,359.50","6,316.30","613.73M","-0.53%"
"05/01/2019","6,375.90","6,325.50","6,380.20","6,325.50","567.49M","0.80%"
"05/02/2019","6,338.40","6,375.90","6,375.90","6,323.50","670.59M","-0.59%"
"05/03/2019","6,335.80","6,338.40","6,355.00","6,327.20","520.29M","-0.04%"
"05/06/2019","6,283.70","6,335.80","6,335.80","6,248.40","552.00M","-0.82%"
"05/07/2019","6,295.70","6,283.70","6,341.90","6,283.70","511.04M","0.19%"
"05/08/2019","6,269.10","6,295.70","6,295.70","6,241.50","562.29M","-0.42%"
"05/09/2019","6,295.30","6,269.10","6,300.20","6,258.80","550.54M","0.42%"
"05/10/2019","6,310.90","6,295.30","6,317.40","6,283.60","516.08M","0.25%"
"05/13/2019","6,297.60","6,310.90","6,310.90","6,277.90","512.58M","-0.21%"
"05/14/2019","6,239.90","6,297.60","6,297.60","6,203.10","685.23M","-0.92%"
"05/15/2019","6,284.20","6,239.90","6,291.30","6,239.90","528.79M","0.71%"
"05/16/2019","6,327.80","6,284.20","6,327.80","6,272.80","668.89M","0.69%"
"05/17/2019","6,365.30","6,327.80","6,398.30","6,327.80","590.23M","0.59%"
"05/20/2019","6,476.10","6,365.30","6,476.10","6,365.30","659.70M","1.74%"
"05/21/2019","6,500.10","6,476.10","6,500.10","6,444.40","669.32M","0.37%"
"05/22/2019","6,510.70","6,500.10","6,510.90","6,478.60","628.77M","0.16%"
"05/23/2019","6,491.80","6,510.70","6,510.70","6,480.20","637.70M","-0.29%"
"05/24/2019","6,456.00","6,491.80","6,491.80","6,437.30","585.62M","-0.55%"
"05/27/2019","6,451.90","6,455.80","6,464.60","6,447.60","436.67M","-0.06%"
"05/28/2019","6,484.80","6,451.90","6,491.70","6,451.90","811.67M","0.51%"
"05/29/2019","6,440.00","6,484.80","6,484.80","6,419.30","544.65M","-0.69%"
"05/30/2019","6,392.10","6,440.00","6,440.00","6,379.70","719.28M","-0.74%"
"05/31/2019","6,396.90","6,392.10","6,398.80","6,362.20","742.87M","0.08%"
"06/03/2019","6,320.60","6,396.90","6,396.90","6,320.50","628.72M","-1.19%"
"06/04/2019","6,332.40","6,320.50","6,343.00","6,315.60","739.81M","0.19%"
"06/05/2019","6,358.50","6,332.40","6,387.60","6,332.40","624.94M","0.41%"
"06/06/2019","6,383.00","6,358.50","6,403.20","6,358.50","618.62M","0.39%"
"06/07/2019","6,443.90","6,383.00","6,443.90","6,383.00","600.02M","0.95%"
"06/11/2019","6,546.30","6,443.90","6,546.30","6,443.90","737.51M","1.59%"
"06/12/2019","6,543.70","6,546.30","6,587.30","6,543.70","684.41M","-0.04%"
"06/13/2019","6,542.40","6,543.70","6,563.20","6,534.30","625.69M","-0.02%"
"06/14/2019","6,554.00","6,542.40","6,559.50","6,533.00","585.18M","0.18%"
"06/17/2019","6,530.90","6,554.00","6,555.40","6,527.00","571.90M","-0.35%"
"06/18/2019","6,570.00","6,530.90","6,572.50","6,529.30","859.94M","0.60%"
"06/19/2019","6,648.10","6,570.00","6,648.10","6,570.00","739.42M","1.19%"
"06/20/2019","6,687.40","6,648.10","6,687.40","6,638.80","1.00B","0.59%"
"06/21/2019","6,650.80","6,687.40","6,691.50","6,641.10","1.16B","-0.55%"
"06/24/2019","6,665.40","6,650.80","6,665.40","6,617.00","558.76M","0.22%"
"06/25/2019","6,658.00","6,665.40","6,680.30","6,647.30","663.40M","-0.11%"
"06/26/2019","6,640.50","6,658.00","6,658.00","6,637.40","746.12M","-0.26%"
"06/27/2019","6,666.30","6,640.50","6,666.30","6,606.30","676.69M","0.39%"
"06/28/2019","6,618.80","6,666.30","6,670.10","6,618.80","754.15M","-0.71%"
"07/01/2019","6,648.10","6,618.80","6,664.00","6,618.80","555.61M","0.44%"
"07/02/2019","6,653.20","6,648.40","6,686.50","6,642.50","596.69M","0.08%"
"07/03/2019","6,685.50","6,653.20","6,692.40","6,641.70","642.49M","0.49%"
"07/04/2019","6,718.00","6,685.50","6,731.90","6,685.50","570.46M","0.49%"
"07/05/2019","6,751.30","6,718.00","6,769.60","6,714.80","579.05M","0.50%"
"07/08/2019","6,672.30","6,740.00","6,751.30","6,672.20","457.99M","-1.17%"
"07/09/2019","6,665.70","6,672.20","6,679.00","6,641.40","550.09M","-0.10%"
"07/10/2019","6,689.80","6,665.70","6,718.20","6,665.70","631.14M","0.36%"
"07/11/2019","6,716.10","6,689.80","6,729.40","6,686.10","645.73M","0.39%"
"07/12/2019","6,696.50","6,716.10","6,717.10","6,687.70","565.57M","-0.29%"
"07/15/2019","6,653.00","6,694.90","6,694.90","6,638.50","456.07M","-0.65%"
"07/16/2019","6,641.00","6,653.00","6,665.30","6,641.00","549.37M","-0.18%"
"07/17/2019","6,673.30","6,641.00","6,675.40","6,626.60","523.02M","0.49%"
"07/18/2019","6,649.10","6,673.30","6,673.30","6,630.70","531.30M","-0.36%"
"07/19/2019","6,700.30","6,649.10","6,705.40","6,646.60","491.23M","0.77%"
"07/22/2019","6,691.20","6,700.30","6,710.70","6,673.20","521.33M","-0.14%"
"07/23/2019","6,724.60","6,691.20","6,730.70","6,688.80","643.34M","0.50%"
"07/24/2019","6,776.70","6,724.60","6,783.30","6,724.60","629.99M","0.77%"
"07/25/2019","6,818.00","6,776.70","6,818.00","6,771.10","681.66M","0.61%"
"07/26/2019","6,793.40","6,818.00","6,818.00","6,779.50","664.36M","-0.36%"
"07/29/2019","6,825.80","6,793.40","6,834.40","6,793.40","532.54M","0.48%"
"07/30/2019","6,845.10","6,825.80","6,875.50","6,825.80","601.53M","0.28%"
"07/31/2019","6,812.60","6,845.10","6,845.10","6,812.60","760.14M","-0.47%"
"08/01/2019","6,788.90","6,812.60","6,812.60","6,780.60","583.99M","-0.35%"
"08/02/2019","6,768.60","6,788.90","6,788.90","6,747.80","609.52M","-0.30%"
"08/05/2019","6,640.30","6,768.60","6,768.60","6,639.40","594.67M","-1.90%"
"08/06/2019","6,478.10","6,640.30","6,640.30","6,444.40","877.70M","-2.44%"
"08/07/2019","6,519.50","6,478.10","6,530.20","6,467.50","648.54M","0.64%"
"08/08/2019","6,568.10","6,519.50","6,568.10","6,462.30","690.77M","0.75%"
"08/09/2019","6,584.40","6,568.10","6,592.50","6,562.50","664.70M","0.25%"
"08/12/2019","6,590.30","6,584.40","6,590.30","6,555.10","493.34M","0.09%"
"08/13/2019","6,568.50","6,590.30","6,593.30","6,558.50","695.31M","-0.33%"
"08/14/2019","6,595.90","6,568.50","6,600.70","6,555.90","754.73M","0.42%"
"08/15/2019","6,408.10","6,595.90","6,595.90","6,405.60","893.23M","-2.85%"
"08/16/2019","6,405.50","6,408.10","6,425.30","6,396.00","758.26M","-0.04%"
"08/19/2019","6,467.40","6,405.50","6,468.40","6,405.50","599.77M","0.97%"
"08/20/2019","6,545.00","6,467.40","6,545.00","6,467.40","702.63M","1.20%"
"08/21/2019","6,483.30","6,545.00","6,545.00","6,466.60","675.77M","-0.94%"
"08/22/2019","6,501.80","6,483.30","6,521.30","6,483.30","631.10M","0.29%"
"08/23/2019","6,523.10","6,501.80","6,529.20","6,495.30","643.57M","0.33%"
"08/26/2019","6,440.10","6,523.10","6,523.10","6,409.80","703.24M","-1.27%"
"08/27/2019","6,471.20","6,440.10","6,483.10","6,439.20","908.28M","0.48%"
"08/28/2019","6,500.60","6,471.20","6,502.00","6,462.00","712.55M","0.45%"
"08/29/2019","6,507.40","6,500.60","6,510.90","6,475.50","730.05M","0.10%"
"08/30/2019","6,604.20","6,507.40","6,612.10","6,507.40","905.42M","1.49%"
"09/02/2019","6,579.40","6,604.20","6,604.80","6,558.30","524.96M","-0.38%"
"09/03/2019","6,573.40","6,579.40","6,591.30","6,554.30","479.38M","-0.09%"
"09/04/2019","6,553.00","6,573.40","6,573.40","6,503.90","695.59M","-0.31%"
"09/05/2019","6,613.20","6,553.00","6,622.80","6,551.00","796.29M","0.92%"
"09/06/2019","6,647.30","6,613.20","6,656.10","6,613.20","702.57M","0.52%"
"09/09/2019","6,648.00","6,647.30","6,659.70","6,631.20","542.93M","0.01%"
"09/10/2019","6,614.10","6,648.00","6,654.80","6,595.70","746.33M","-0.51%"
"09/11/2019","6,638.00","6,614.10","6,638.40","6,614.10","811.43M","0.36%"
"09/12/2019","6,654.90","6,638.00","6,687.40","6,638.00","662.65M","0.25%"
"09/13/2019","6,669.20","6,654.90","6,676.50","6,653.70","673.88M","0.21%"
"09/16/2019","6,673.50","6,669.20","6,688.50","6,646.60","750.73M","0.06%"
"09/17/2019","6,695.30","6,673.50","6,695.30","6,649.10","745.94M","0.33%"
"09/18/2019","6,681.60","6,695.30","6,703.30","6,673.80","758.36M","-0.20%"
"09/19/2019","6,717.50","6,681.60","6,742.90","6,681.60","997.44M","0.54%"
"09/20/2019","6,730.80","6,717.50","6,775.60","6,717.50","1.25B","0.20%"
"09/23/2019","6,749.70","6,730.80","6,770.00","6,730.80","506.70M","0.28%"
"09/24/2019","6,748.90","6,749.70","6,764.00","6,745.30","596.96M","-0.01%"
"09/25/2019","6,710.20","6,748.90","6,748.90","6,696.30","650.52M","-0.57%"
"09/26/2019","6,677.60","6,710.20","6,720.80","6,667.10","594.82M","-0.49%"
"09/27/2019","6,716.10","6,677.60","6,721.20","6,677.60","606.27M","0.58%"
"09/30/2019","6,688.30","6,715.90","6,734.70","6,688.30","611.59M","-0.41%"
"10/01/2019","6,742.80","6,688.30","6,743.70","6,687.80","612.74M","0.81%"
"10/02/2019","6,639.90","6,742.80","6,742.80","6,639.80","618.75M","-1.53%"
"10/03/2019","6,493.00","6,639.90","6,639.90","6,475.40","702.53M","-2.21%"
"10/04/2019","6,517.10","6,493.00","6,532.70","6,489.90","473.32M","0.37%"
"10/07/2019","6,563.60","6,517.10","6,564.90","6,517.10","272.77M","0.71%"
"10/08/2019","6,593.40","6,563.60","6,601.20","6,563.60","476.48M","0.45%"
"10/09/2019","6,546.70","6,593.40","6,593.40","6,520.30","504.31M","-0.71%"
"10/10/2019","6,547.10","6,546.70","6,570.90","6,529.30","549.84M","0.01%"
"10/11/2019","6,606.80","6,547.10","6,614.60","6,547.10","526.91M","0.91%"
"10/14/2019","6,642.60","6,606.80","6,676.20","6,606.80","489.30M","0.54%"
"10/15/2019","6,652.00","6,642.60","6,657.40","6,621.90","504.85M","0.14%"
"10/16/2019","6,736.50","6,652.00","6,737.80","6,652.00","626.54M","1.27%"
"10/17/2019","6,684.70","6,736.50","6,737.40","6,681.40","921.00M","-0.77%"
"10/18/2019","6,649.70","6,684.70","6,684.70","6,633.90","633.43M","-0.52%"
"10/21/2019","6,652.50","6,649.70","6,652.50","6,612.40","506.49M","0.04%"
"10/22/2019","6,672.20","6,652.50","6,680.40","6,648.30","577.41M","0.30%"
