"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2001","19.63","19.80","19.98","19.20","","1.19%"
"05/14/2001","20.36","20.02","20.52","19.87","","3.72%"
"05/15/2001","20.58","20.37","20.70","20.18","","1.08%"
"05/16/2001","19.70","20.92","21.13","19.64","","-4.28%"
"05/17/2001","19.50","19.67","19.97","19.30","","-1.02%"
"05/18/2001","19.18","19.74","19.95","18.85","","-1.64%"
"05/21/2001","18.88","19.73","20.12","18.72","","-1.56%"
"05/22/2001","18.72","19.22","19.32","18.30","","-0.85%"
"05/23/2001","18.51","18.66","18.86","18.20","","-1.12%"
"05/24/2001","18.20","18.63","18.63","18.04","","-1.67%"
"05/25/2001","18.12","17.91","18.47","17.78","","-0.44%"
"05/28/2001","18.47","18.74","18.74","18.23","","1.93%"
"05/29/2001","19.38","18.49","19.42","18.29","","4.93%"
"05/30/2001","19.88","19.45","19.94","19.33","","2.58%"
"05/31/2001","19.72","20.24","20.28","19.43","","-0.80%"
"06/01/2001","18.80","19.98","20.35","18.70","","-4.67%"
"06/04/2001","18.73","18.95","19.41","18.65","","-0.37%"
"06/05/2001","17.62","19.33","19.34","17.37","","-5.93%"
"06/06/2001","17.97","17.63","18.16","17.20","","1.99%"
"06/07/2001","17.66","17.84","18.16","17.63","","-1.73%"
"06/08/2001","17.81","17.56","18.08","17.15","","0.85%"
"06/11/2001","18.17","19.59","19.69","17.87","","2.02%"
"06/12/2001","19.43","18.27","20.35","18.16","","6.93%"
"06/13/2001","19.06","19.94","19.94","18.74","","-1.90%"
"06/14/2001","20.39","19.33","20.45","19.19","","6.98%"
"06/15/2001","21.72","20.40","21.85","20.14","","6.52%"
"06/18/2001","22.56","22.06","22.87","21.46","","3.87%"
"06/19/2001","21.30","22.30","22.32","20.68","","-5.59%"
"06/20/2001","21.94","21.89","22.63","21.50","","3.00%"
"06/21/2001","20.58","21.58","21.82","20.58","","-6.20%"
"06/22/2001","20.05","20.68","20.80","20.04","","-2.58%"
"06/25/2001","20.30","20.52","20.64","20.04","","1.25%"
"06/26/2001","21.21","20.75","21.76","20.75","","4.48%"
"06/27/2001","21.39","21.55","21.68","21.17","","0.85%"
"06/28/2001","19.69","21.72","22.08","19.64","","-7.95%"
"06/29/2001","18.73","20.35","20.36","18.63","","-4.88%"
"07/02/2001","18.22","19.21","19.33","18.05","","-2.72%"
"07/03/2001","18.50","18.39","18.94","18.23","","1.54%"
"07/04/2001","19.17","18.54","19.27","18.53","","3.62%"
"07/05/2001","19.29","20.81","20.90","19.00","","0.63%"
"07/06/2001","22.04","20.45","22.18","19.65","","14.26%"
"07/09/2001","21.78","22.02","23.54","21.68","","-1.18%"
"07/10/2001","22.73","21.65","22.73","21.18","","4.36%"
"07/11/2001","22.80","22.85","23.70","22.70","","0.31%"
"07/12/2001","22.07","22.42","22.44","21.49","","-3.20%"
"07/13/2001","21.25","22.16","22.30","21.23","","-3.72%"
"07/16/2001","22.17","21.82","22.22","21.71","","4.33%"
"07/17/2001","22.27","22.24","22.74","22.00","","0.45%"
"07/18/2001","23.47","22.63","23.82","22.43","","5.39%"
"07/19/2001","22.06","23.28","23.40","21.81","","-6.01%"
"07/20/2001","22.07","22.40","22.58","21.71","","0.05%"
"07/23/2001","21.35","22.30","22.51","20.95","","-3.26%"
"07/24/2001","22.56","21.74","22.81","21.48","","5.67%"
