"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2026","17.28","18.81","18.82","17.26","","-8.59%"
"09/10/2026","18.90","18.25","19.35","17.91","","2.64%"
"09/09/2026","18.41","16.72","18.68","16.72","","12.30%"
"09/08/2026","16.40","16.53","17.05","16.33","","0.18%"
"09/07/2026","16.37","16.10","16.43","16.04","","5.45%"
"09/04/2026","15.52","16.44","16.44","15.50","","-5.91%"
"09/03/2026","16.50","17.42","17.44","16.50","","-5.38%"
"09/02/2026","17.43","17.63","18.78","17.43","","0.05%"
"09/01/2026","17.42","16.68","17.79","16.43","","4.73%"
"08/31/2026","16.64","16.23","16.78","16.14","","8.00%"
"08/28/2026","15.41","16.38","16.40","15.34","","-5.86%"
"08/27/2026","16.36","15.98","16.54","15.89","","2.10%"
"08/26/2026","16.03","16.37","16.41","15.91","","-1.41%"
"08/25/2026","16.26","16.46","16.46","16.15","","-0.96%"
"08/24/2026","16.42","16.82","16.82","16.36","","2.06%"
"08/21/2026","16.08","17.09","17.09","16.06","","-5.45%"
"08/20/2026","17.01","16.45","17.64","16.38","","3.67%"
"08/19/2026","16.41","17.01","17.04","16.38","","-3.09%"
"08/18/2026","16.93","16.16","16.98","16.12","","7.29%"
"08/17/2026","15.78","15.68","16.07","15.43","","2.51%"
"08/14/2026","15.39","15.57","15.57","14.96","","-0.64%"
"08/13/2026","15.49","15.82","15.83","15.34","","-1.89%"
"08/12/2026","15.79","15.88","16.12","15.69","","-0.73%"
"08/11/2026","15.91","15.94","16.32","15.66","","1.02%"
"08/10/2026","15.75","16.02","16.05","15.75","","2.31%"
"08/07/2026","15.39","15.89","15.90","15.39","","-2.83%"
"08/06/2026","15.84","15.97","16.29","15.78","","-2.81%"
"08/05/2026","16.30","16.30","16.55","16.16","","0.58%"
"08/04/2026","16.21","16.30","16.48","16.06","","-0.68%"
"08/03/2026","16.32","17.47","17.47","16.27","","-5.53%"
"07/31/2026","17.27","17.73","18.14","16.84","","-4.70%"
"07/30/2026","18.12","18.97","19.01","17.72","","-4.64%"
"07/29/2026","19.00","18.26","19.28","18.25","","5.23%"
"07/28/2026","18.06","18.74","19.04","18.05","","-4.00%"
"07/27/2026","18.81","19.15","19.15","17.44","","2.44%"
"07/24/2026","18.36","19.84","19.85","18.32","","-11.52%"
"07/23/2026","20.75","17.96","20.77","17.96","","18.59%"
"07/22/2026","17.50","17.51","17.96","17.12","","1.48%"
"07/21/2026","17.25","17.77","17.94","17.17","","-4.14%"
"07/20/2026","17.99","18.77","18.91","17.90","","0.59%"
"07/17/2026","17.89","18.03","18.99","17.83","","3.74%"
"07/16/2026","17.24","17.60","18.50","17.23","","-4.46%"
"07/15/2026","18.05","18.13","18.49","17.87","","-0.05%"
"07/14/2026","18.06","18.60","19.23","17.98","","0.06%"
"07/13/2026","18.04","18.00","18.30","17.76","","5.37%"
"07/10/2026","17.12","17.76","17.87","16.94","","-4.12%"
"07/09/2026","17.86","19.00","19.34","17.84","","-13.26%"
"07/08/2026","20.59","17.81","20.62","17.75","","20.24%"
"07/07/2026","17.13","16.35","17.16","16.21","","5.67%"
"07/06/2026","16.21","16.49","16.52","16.21","","2.18%"
"07/03/2026","15.86","16.13","16.25","15.79","","-2.04%"
"07/02/2026","16.19","16.30","16.50","15.77","","0.92%"
"07/01/2026","16.04","16.81","16.92","16.04","","-3.11%"
"06/30/2026","16.56","17.08","17.30","16.52","","-4.92%"
"06/29/2026","17.41","18.02","18.25","17.37","","-3.04%"
"06/26/2026","17.96","17.66","18.57","17.54","","3.50%"
"06/25/2026","17.35","17.29","17.71","16.71","","0.00%"
"06/24/2026","17.35","17.97","18.19","17.34","","-3.00%"
"06/23/2026","17.89","17.27","18.32","17.18","","10.41%"
"06/22/2026","16.20","16.83","16.83","16.03","","0.12%"
"06/19/2026","16.18","16.42","16.53","15.98","","-0.61%"
"06/18/2026","16.28","16.68","17.01","16.27","","-1.78%"
"06/17/2026","16.58","16.11","16.76","15.81","","2.28%"
"06/16/2026","16.21","16.59","16.59","16.05","","-3.31%"
"06/15/2026","16.76","18.55","18.61","16.74","","-10.58%"
"06/12/2026","18.75","20.25","20.25","18.63","","-10.00%"
"06/11/2026","20.83","21.04","21.05","20.20","","-1.24%"
"06/10/2026","21.09","20.21","21.93","20.09","","4.49%"
"06/09/2026","20.18","18.93","20.18","18.65","","6.05%"
"06/08/2026","19.03","19.21","20.43","18.93","","3.60%"
"06/05/2026","18.37","18.73","18.90","18.04","","-0.64%"
"06/04/2026","18.49","18.84","19.04","18.44","","-2.05%"
"06/03/2026","18.88","18.65","19.33","18.52","","1.63%"
"06/02/2026","18.57","19.21","19.21","18.38","","-3.32%"
"06/01/2026","19.21","18.88","19.49","18.04","","3.79%"
"05/29/2026","18.51","18.82","18.91","18.25","","-2.29%"
"05/28/2026","18.94","19.25","19.50","18.94","","-1.19%"
"05/27/2026","19.17","19.32","19.51","18.99","","-1.94%"
"05/26/2026","19.55","19.46","19.80","19.19","","0.64%"
"05/25/2026","19.43","20.84","20.95","19.34","","-6.66%"
"05/22/2026","20.81","21.34","21.44","20.66","","-3.26%"
"05/21/2026","21.51","21.85","22.52","21.12","","-2.77%"
"05/20/2026","22.13","22.49","22.84","22.06","","-1.64%"
"05/19/2026","22.50","23.48","23.48","21.76","","-2.24%"
"05/18/2026","23.01","23.34","23.59","22.39","","1.87%"
"05/15/2026","22.59","21.49","22.95","21.49","","6.03%"
"05/14/2026","21.31","21.59","21.59","20.94","","-2.06%"
"05/13/2026","21.75","22.55","22.63","21.73","","-6.45%"
"05/12/2026","23.26","22.56","23.38","22.39","","6.70%"
"05/11/2026","21.80","23.13","23.13","21.79","","-2.68%"
"05/08/2026","22.40","21.98","22.62","21.81","","3.13%"
"05/07/2026","21.72","20.74","21.75","20.53","","3.74%"
"05/06/2026","20.93","22.73","22.80","20.89","","-9.82%"
"05/05/2026","23.21","23.83","23.91","23.20","","-5.10%"
"05/04/2026","24.46","23.58","24.64","22.28","","8.95%"
"04/30/2026","22.45","23.63","23.69","22.28","","-2.34%"
"04/29/2026","22.99","23.24","23.49","22.74","","-2.11%"
"04/28/2026","23.48","23.67","24.45","23.20","","-0.86%"
"04/27/2026","23.69","23.72","23.82","22.75","","1.72%"
"04/24/2026","23.29","23.18","24.23","22.61","","0.75%"
"04/23/2026","23.11","23.12","23.93","22.93","","0.77%"
"04/22/2026","22.94","23.90","23.90","22.45","","-3.44%"
"04/21/2026","23.75","22.26","23.79","21.83","","6.08%"
"04/20/2026","22.39","20.96","22.61","20.86","","15.26%"
"04/17/2026","19.43","21.13","21.13","19.04","","-8.94%"
"04/16/2026","21.33","20.53","21.50","20.02","","3.66%"
"04/15/2026","20.58","20.38","21.04","20.09","","0.83%"
"04/14/2026","20.41","22.23","22.23","20.39","","-9.48%"
"04/13/2026","22.55","23.77","24.26","22.54","","2.46%"
"04/10/2026","22.01","22.95","22.97","21.67","","-5.65%"
"04/09/2026","23.32","24.08","24.70","23.28","","-3.18%"
"04/08/2026","24.09","31.39","31.90","23.05","","-21.60%"
"04/07/2026","30.73","29.19","31.24","26.84","","10.90%"
"04/02/2026","27.71","27.06","29.84","27.06","","5.20%"
"04/01/2026","26.34","30.01","30.22","26.21","","-12.00%"
"03/31/2026","29.93","32.08","32.08","29.70","","-7.43%"
"03/30/2026","32.33","34.76","34.76","32.33","","-4.25%"
"03/27/2026","33.77","32.62","34.01","32.50","","3.80%"
"03/26/2026","32.53","31.26","32.59","30.98","","6.13%"
"03/25/2026","30.65","30.87","31.28","28.93","","-1.42%"
"03/24/2026","31.10","32.05","33.05","30.61","","-2.83%"
"03/23/2026","32.00","33.52","35.58","28.68","","2.28%"
"03/20/2026","31.29","29.41","32.21","27.39","","6.77%"
"03/19/2026","29.30","26.68","32.14","26.68","","11.33%"
"03/18/2026","26.32","25.29","27.68","23.59","","3.11%"
"03/17/2026","25.52","27.08","27.11","24.95","","-5.42%"
"03/16/2026","26.99","29.40","29.46","26.30","","-7.16%"
"03/13/2026","29.07","29.08","30.46","27.16","","0.78%"
"03/12/2026","28.84","28.46","29.99","26.91","","2.10%"
"03/11/2026","28.25","25.57","28.43","25.56","","10.88%"
"03/10/2026","25.48","28.19","28.19","24.57","","-10.57%"
"03/09/2026","28.49","31.47","32.95","28.03","","0.42%"
"03/06/2026","28.37","26.33","30.57","25.05","","7.88%"
"03/05/2026","26.29","23.11","26.30","21.93","","15.64%"
"03/04/2026","22.74","26.44","26.53","22.63","","-15.58%"
"03/03/2026","26.93","22.23","28.19","22.23","","26.22%"
"03/02/2026","21.34","20.57","23.07","20.56","","15.12%"
"02/27/2026","18.54","18.06","19.99","17.58","","3.35%"
"02/26/2026","17.94","17.58","18.48","16.79","","2.20%"
"02/25/2026","17.55","18.53","18.55","17.49","","-5.44%"
"02/24/2026","18.56","19.37","19.69","18.56","","-2.34%"
