"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2020","12,127.69","11,992.59","12,199.82","11,929.24","147.85M","1.19%"
"03/05/2020","11,944.72","12,191.41","12,207.77","11,844.88","148.09M","-1.51%"
"03/06/2020","11,541.87","11,694.56","11,769.85","11,447.20","195.04M","-3.37%"
"03/09/2020","10,625.02","10,690.08","10,995.22","10,556.64","305.32M","-7.94%"
"03/10/2020","10,475.49","10,724.98","11,032.29","10,423.90","267.40M","-1.41%"
"03/11/2020","10,438.68","10,601.85","10,761.43","10,390.51","216.71M","-0.35%"
"03/12/2020","9,161.13","9,863.99","9,932.56","9,139.12","390.48M","-12.24%"
"03/13/2020","9,232.08","9,480.78","9,985.74","9,064.68","325.90M","0.77%"
"03/16/2020","8,742.25","8,728.48","8,967.11","8,255.65","302.20M","-5.31%"
"03/17/2020","8,939.10","9,141.17","9,145.93","8,423.56","220.09M","2.25%"
"03/18/2020","8,441.71","8,613.35","8,670.41","8,400.18","207.56M","-5.56%"
"03/19/2020","8,610.43","8,495.94","8,668.48","8,257.53","205.54M","2.00%"
"03/20/2020","8,928.95","9,080.49","9,201.07","8,838.30","286.47M","3.70%"
"03/23/2020","8,741.15","8,536.33","9,071.14","8,480.28","197.21M","-2.10%"
"03/24/2020","9,700.57","9,242.06","9,700.57","9,102.17","203.84M","10.98%"
"03/25/2020","9,874.26","9,987.37","10,137.62","9,460.91","204.69M","1.79%"
"03/26/2020","10,000.96","9,621.24","10,000.96","9,526.17","160.45M","1.28%"
"03/27/2020","9,632.52","9,793.50","9,886.18","9,541.83","156.14M","-3.68%"
"03/30/2020","9,815.97","9,725.88","9,817.51","9,453.79","131.12M","1.90%"
"03/31/2020","9,935.84","9,970.79","10,096.42","9,703.88","151.51M","1.22%"
"04/01/2020","9,544.75","9,610.67","9,686.46","9,498.05","132.86M","-3.94%"
"04/02/2020","9,570.82","9,587.45","9,650.27","9,337.02","144.23M","0.27%"
"04/03/2020","9,525.77","9,535.27","9,626.72","9,470.20","116.25M","-0.47%"
"04/06/2020","10,075.17","9,889.03","10,097.31","9,841.49","126.69M","5.77%"
"04/07/2020","10,356.70","10,464.11","10,590.41","10,225.02","149.51M","2.79%"
"04/08/2020","10,332.89","10,301.56","10,340.79","10,198.22","102.43M","-0.23%"
"04/09/2020","10,564.74","10,490.65","10,649.79","10,311.70","134.48M","2.24%"
"04/14/2020","10,696.56","10,733.97","10,820.17","10,658.96","106.04M","1.25%"
"04/15/2020","10,279.76","10,678.19","10,678.19","10,243.11","133.09M","-3.90%"
"04/16/2020","10,301.54","10,420.26","10,438.37","10,236.24","106.13M","0.21%"
"04/17/2020","10,625.78","10,607.35","10,756.78","10,542.71","143.34M","3.15%"
"04/20/2020","10,675.90","10,704.35","10,707.31","10,444.55","103.61M","0.47%"
"04/21/2020","10,249.85","10,519.44","10,524.73","10,249.85","121.19M","-3.99%"
"04/22/2020","10,415.03","10,370.25","10,425.02","10,321.20","92.39M","1.61%"
"04/23/2020","10,513.79","10,437.38","10,608.39","10,325.11","97.91M","0.95%"
"04/24/2020","10,336.09","10,299.31","10,486.47","10,299.31","120.04M","-1.69%"
"04/27/2020","10,659.99","10,551.07","10,660.36","10,523.10","122.48M","3.13%"
"04/28/2020","10,795.63","10,658.47","10,897.82","10,651.58","146.55M","1.27%"
"04/29/2020","11,107.74","10,812.74","11,125.35","10,789.52","145.35M","2.89%"
"04/30/2020","10,861.64","11,195.21","11,235.57","10,839.30","162.73M","-2.22%"
"05/04/2020","10,466.80","10,543.36","10,578.43","10,426.06","140.42M","-3.64%"
"05/05/2020","10,729.46","10,627.07","10,736.95","10,518.94","103.77M","2.51%"
"05/06/2020","10,606.20","10,716.51","10,773.86","10,598.90","94.91M","-1.15%"
"05/07/2020","10,759.27","10,640.77","10,761.86","10,617.23","102.15M","1.44%"
"05/08/2020","10,904.48","10,882.44","10,918.32","10,819.07","81.80M","1.35%"
"05/11/2020","10,824.99","10,948.24","10,986.22","10,740.82","88.08M","-0.73%"
"05/12/2020","10,819.50","10,777.74","10,886.01","10,772.58","88.86M","-0.05%"
"05/13/2020","10,542.66","10,669.99","10,698.13","10,530.32","108.74M","-2.56%"
"05/14/2020","10,337.02","10,418.04","10,474.08","10,160.89","133.62M","-1.95%"
"05/15/2020","10,465.17","10,470.85","10,547.19","10,382.54","116.08M","1.24%"
"05/18/2020","11,058.87","10,683.86","11,089.50","10,677.52","118.99M","5.67%"
"05/19/2020","11,075.29","11,200.92","11,201.18","10,936.07","125.54M","0.15%"
"05/20/2020","11,223.71","11,029.33","11,246.91","10,978.57","98.83M","1.34%"
"05/21/2020","11,065.93","11,088.12","11,194.92","11,036.91","73.57M","-1.41%"
"05/22/2020","11,073.87","10,896.28","11,138.15","10,867.17","86.15M","0.07%"
"05/25/2020","11,391.28","11,186.04","11,391.28","11,118.12","72.13M","2.87%"
