"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2019","25,626.55","25,627.83","25,662.31","25,502.70","1.30B","-0.38%"
"09/03/2019","25,527.85","25,546.32","25,736.05","25,498.11","1.15B","-0.39%"
"09/04/2019","26,523.23","25,675.16","26,654.21","25,675.16","2.69B","3.90%"
"09/05/2019","26,515.53","26,512.86","26,697.85","26,283.12","2.00B","-0.03%"
"09/06/2019","26,690.76","26,773.13","26,790.79","26,563.17","1.90B","0.66%"
"09/09/2019","26,681.40","26,743.36","26,807.86","26,609.65","1.70B","-0.04%"
"09/10/2019","26,683.68","26,831.98","26,870.77","26,634.47","1.74B","0.01%"
"09/11/2019","27,159.06","26,790.64","27,159.51","26,705.63","2.07B","1.78%"
"09/12/2019","27,087.63","27,283.98","27,283.98","26,967.25","1.34B","-0.26%"
"09/13/2019","27,352.69","27,154.51","27,366.45","27,074.54","1.18B","0.98%"
"09/16/2019","27,124.55","27,212.89","27,212.89","26,976.30","2.19B","-0.83%"
"09/17/2019","26,790.24","26,942.96","26,951.84","26,694.37","1.85B","-1.23%"
"09/18/2019","26,754.12","26,838.43","26,891.16","26,730.63","1.37B","-0.13%"
"09/19/2019","26,468.95","26,820.73","26,820.73","26,372.09","1.33B","-1.07%"
"09/20/2019","26,435.67","26,532.88","26,564.36","26,410.41","1.97B","-0.13%"
"09/23/2019","26,222.40","26,463.62","26,483.03","26,186.01","1.29B","-0.81%"
"09/24/2019","26,281.00","26,300.21","26,391.98","26,207.27","2.09B","0.22%"
"09/25/2019","25,945.35","26,162.71","26,190.56","25,917.68","1.76B","-1.28%"
"09/26/2019","26,041.93","26,075.15","26,099.64","25,917.58","1.70B","0.37%"
"09/27/2019","25,954.81","25,977.98","26,017.46","25,840.66","984.28M","-0.33%"
"09/30/2019","26,092.27","25,844.71","26,161.70","25,786.29","1.34B","0.53%"
"10/02/2019","26,042.69","25,901.47","26,092.62","25,778.22","1.20B","-0.19%"
"10/03/2019","26,110.31","25,831.44","26,192.87","25,809.47","1.14B","0.26%"
"10/04/2019","25,821.03","26,169.51","26,169.51","25,612.49","1.14B","-1.11%"
"10/08/2019","25,893.40","25,848.73","26,180.03","25,761.50","1.78B","0.28%"
"10/09/2019","25,682.81","25,736.88","25,866.84","25,656.66","1.59B","-0.81%"
"10/10/2019","25,707.93","25,625.57","25,809.58","25,521.95","1.43B","0.10%"
"10/11/2019","26,308.44","25,986.82","26,393.01","25,976.07","2.03B","2.34%"
"10/14/2019","26,521.85","26,520.93","26,636.93","26,386.41","2.10B","0.81%"
"10/15/2019","26,503.93","26,609.13","26,609.13","26,433.43","1.57B","-0.07%"
"10/16/2019","26,664.28","26,553.90","26,698.56","26,432.43","1.69B","0.61%"
"10/17/2019","26,848.49","26,809.04","26,956.82","26,729.51","1.40B","0.69%"
"10/18/2019","26,719.58","26,910.55","26,985.08","26,650.13","1.54B","-0.48%"
"10/21/2019","26,725.68","26,715.22","26,818.44","26,658.32","1.05B","0.02%"
"10/22/2019","26,786.20","26,813.81","26,844.29","26,698.30","1.50B","0.23%"
"10/23/2019","26,566.73","26,771.98","26,818.99","26,491.71","1.27B","-0.82%"
"10/24/2019","26,797.95","26,651.03","26,810.43","26,592.18","1.50B","0.87%"
"10/25/2019","26,667.39","26,795.64","26,795.64","26,621.18","1.15B","-0.49%"
"10/28/2019","26,891.26","26,770.11","27,005.68","26,762.70","1.48B","0.84%"
"10/29/2019","26,786.76","27,027.56","27,027.56","26,729.06","1.52B","-0.39%"
"10/30/2019","26,667.71","26,766.98","26,809.53","26,602.95","1.55B","-0.44%"
"10/31/2019","26,906.72","26,708.45","27,009.50","26,708.45","1.91B","0.90%"
"11/01/2019","27,100.76","26,806.44","27,102.42","26,800.57","1.42B","0.72%"
"11/04/2019","27,547.30","27,299.88","27,547.30","27,299.46","1.78B","1.65%"
"11/05/2019","27,683.40","27,601.10","27,733.07","27,463.33","1.75B","0.49%"
"11/06/2019","27,688.64","27,636.33","27,750.91","27,547.77","1.32B","0.02%"
"11/07/2019","27,847.23","27,690.60","27,900.80","27,534.91","1.35B","0.57%"
"11/08/2019","27,651.14","27,894.56","27,894.56","27,582.29","1.49B","-0.70%"
"11/11/2019","26,926.55","27,361.41","27,361.41","26,830.47","1.92B","-2.62%"
"11/12/2019","27,065.28","27,064.26","27,076.67","26,794.61","1.15B","0.52%"
"11/13/2019","26,571.46","26,761.16","26,761.16","26,465.33","1.86B","-1.82%"
"11/14/2019","26,323.69","26,444.23","26,605.96","26,203.97","1.55B","-0.93%"
"11/15/2019","26,326.66","26,529.95","26,544.65","26,300.08","1.18B","0.01%"
"11/18/2019","26,681.09","26,442.39","26,702.16","26,406.35","1.43B","1.35%"
"11/19/2019","27,093.80","26,671.32","27,093.80","26,605.63","1.54B","1.55%"
"11/20/2019","26,889.61","26,936.79","26,962.17","26,804.35","1.33B","-0.75%"
"11/21/2019","26,466.88","26,587.59","26,587.59","26,306.02","1.71B","-1.57%"
"11/22/2019","26,595.08","26,584.88","26,690.17","26,487.67","1.10B","0.48%"
"11/25/2019","26,993.04","26,873.35","27,114.22","26,852.89","1.50B","1.50%"
"11/26/2019","26,913.92","27,183.90","27,227.87","26,913.92","2.42B","-0.29%"
"11/27/2019","26,954.00","26,943.52","26,974.28","26,866.80","1.13B","0.15%"
"11/28/2019","26,893.73","26,763.63","26,991.80","26,763.63","998.84M","-0.22%"
"11/29/2019","26,346.49","26,705.38","26,705.38","26,308.10","2.00B","-2.03%"
"12/02/2019","26,444.72","26,475.34","26,511.55","26,393.09","1.35B","0.37%"
"12/03/2019","26,391.30","26,315.97","26,424.12","26,063.02","1.80B","-0.20%"
"12/04/2019","26,062.56","26,071.39","26,191.79","25,995.15","1.50B","-1.25%"
"12/05/2019","26,217.04","26,300.51","26,300.51","26,134.06","1.23B","0.59%"
"12/06/2019","26,498.37","26,345.20","26,520.08","26,309.34","1.64B","1.07%"
"12/09/2019","26,494.73","26,513.97","26,618.25","26,432.27","1.30B","-0.01%"
"12/10/2019","26,436.62","26,378.99","26,527.09","26,355.53","956.29M","-0.22%"
"12/11/2019","26,645.43","26,410.09","26,659.98","26,364.43","1.41B","0.79%"
"12/12/2019","26,994.14","26,837.94","27,048.98","26,837.94","1.45B","1.31%"
"12/13/2019","27,687.76","27,494.51","27,687.76","27,405.26","2.21B","2.57%"
"12/16/2019","27,508.09","27,530.50","27,715.93","27,473.32","1.42B","-0.65%"
"12/17/2019","27,843.71","27,630.69","27,894.72","27,563.44","1.93B","1.22%"
"12/18/2019","27,884.21","27,946.74","27,970.76","27,775.98","1.84B","0.15%"
"12/19/2019","27,800.49","27,908.78","27,908.78","27,675.24","1.30B","-0.30%"
"12/20/2019","27,871.35","27,834.55","27,959.52","27,740.66","1.68B","0.25%"
"12/23/2019","27,906.41","28,024.62","28,024.62","27,830.08","1.22B","0.13%"
"12/24/2019","27,864.21","27,901.51","27,921.29","27,792.66","483.98M","-0.15%"
"12/27/2019","28,225.42","28,033.66","28,226.11","28,000.62","1.38B","1.30%"
"12/30/2019","28,319.39","28,250.48","28,418.65","28,165.13","1.42B","0.33%"
"12/31/2019","28,189.75","28,241.43","28,298.46","28,123.86","873.71M","-0.46%"
"01/02/2020","28,543.52","28,249.37","28,543.52","28,245.97","1.26B","1.25%"
"01/03/2020","28,451.50","28,828.36","28,883.30","28,428.17","1.80B","-0.32%"
"01/06/2020","28,226.19","28,326.50","28,367.87","28,054.29","1.79B","-0.79%"
"01/07/2020","28,322.06","28,352.68","28,473.08","28,264.07","1.30B","0.34%"
"01/08/2020","28,087.92","27,999.58","28,198.61","27,857.73","1.71B","-0.83%"
"01/09/2020","28,561.00","28,367.65","28,561.00","28,325.86","1.69B","1.68%"
"01/10/2020","28,638.20","28,665.14","28,665.14","28,504.27","1.45B","0.27%"
"01/13/2020","28,954.94","28,772.37","28,971.40","28,671.84","1.77B","1.11%"
"01/14/2020","28,885.14","29,149.53","29,149.53","28,790.49","1.64B","-0.24%"
"01/15/2020","28,773.59","28,891.07","28,972.68","28,619.10","1.24B","-0.39%"
"01/16/2020","28,883.04","28,806.12","28,987.73","28,709.57","1.62B","0.38%"
"01/17/2020","29,056.42","28,988.16","29,101.15","28,813.13","1.55B","0.60%"
"01/20/2020","28,795.91","29,169.12","29,174.92","28,795.42","1.63B","-0.90%"
"01/21/2020","27,985.33","28,449.38","28,492.03","27,980.50","2.24B","-2.81%"
"01/22/2020","28,341.04","28,116.50","28,393.93","27,937.68","1.34B","1.27%"
"01/23/2020","27,909.12","28,109.75","28,133.03","27,706.37","1.75B","-1.52%"
"01/24/2020","27,949.64","27,935.42","27,977.63","27,774.50","612.13M","0.15%"
"01/29/2020","27,160.63","27,101.54","27,333.30","27,101.54","2.20B","-2.82%"
"01/30/2020","26,449.13","27,030.61","27,134.55","26,330.05","2.22B","-2.62%"
"01/31/2020","26,312.63","26,757.61","26,818.84","26,295.49","1.87B","-0.52%"
"02/03/2020","26,356.98","26,189.61","26,512.58","26,145.59","2.42B","0.17%"
"02/04/2020","26,675.98","26,491.66","26,730.26","26,491.66","2.50B","1.21%"
"02/05/2020","26,786.74","26,869.32","26,926.12","26,641.92","2.50B","0.42%"
"02/06/2020","27,493.70","27,174.53","27,608.22","27,029.49","2.25B","2.64%"
"02/07/2020","27,404.27","27,356.28","27,410.58","27,224.12","1.46B","-0.33%"
"02/10/2020","27,241.34","27,092.15","27,314.64","27,044.88","1.61B","-0.59%"
"02/11/2020","27,583.88","27,514.25","27,674.81","27,436.99","1.87B","1.26%"
"02/12/2020","27,823.66","27,717.22","27,892.48","27,614.83","1.80B","0.87%"
"02/13/2020","27,730.00","27,953.65","27,953.65","27,695.60","1.62B","-0.34%"
"02/14/2020","27,815.60","27,698.56","27,960.66","27,695.59","1.45B","0.31%"
"02/17/2020","27,959.60","27,766.71","28,055.58","27,766.71","1.41B","0.52%"
"02/18/2020","27,530.20","27,766.50","27,771.30","27,496.25","1.59B","-1.54%"
"02/19/2020","27,655.81","27,486.46","27,697.46","27,448.60","1.47B","0.46%"
"02/20/2020","27,609.16","27,767.28","27,767.28","27,383.13","1.58B","-0.17%"
"02/21/2020","27,308.81","27,450.46","27,484.53","27,264.78","1.77B","-1.09%"
"02/24/2020","26,820.88","27,105.35","27,105.35","26,813.22","2.04B","-1.79%"
"02/25/2020","26,893.23","26,722.39","26,914.05","26,667.04","1.92B","0.27%"
"02/26/2020","26,696.49","26,479.90","26,776.06","26,479.90","2.04B","-0.73%"
"02/27/2020","26,778.62","26,529.17","26,849.57","26,419.97","2.11B","0.31%"
"02/28/2020","26,129.93","26,249.06","26,313.55","25,989.41","3.19B","-2.42%"
"03/02/2020","26,291.68","26,077.73","26,375.91","26,077.73","2.20B","0.62%"
"03/03/2020","26,284.82","26,419.13","26,527.75","26,233.39","2.14B","-0.03%"
"03/04/2020","26,222.07","26,321.56","26,372.48","26,038.39","1.96B","-0.24%"
"03/05/2020","26,767.87","26,348.16","26,805.58","26,315.36","2.52B","2.08%"
"03/06/2020","26,146.67","26,397.78","26,408.80","26,084.23","2.65B","-2.32%"
"03/09/2020","25,040.46","25,134.02","25,321.28","24,948.38","4.68B","-4.23%"
"03/10/2020","25,392.51","25,285.68","25,578.61","24,978.97","3.23B","1.41%"
"03/11/2020","25,231.61","25,459.96","25,493.23","25,140.38","2.63B","-0.63%"
"03/12/2020","24,309.07","24,657.67","24,657.67","24,117.94","3.75B","-3.66%"
"03/13/2020","24,032.91","22,519.32","24,184.48","22,519.32","5.50B","-1.14%"
"03/16/2020","23,063.57","23,317.81","23,631.53","22,842.25","4.07B","-4.03%"
"03/17/2020","23,263.73","23,001.76","23,401.20","22,676.46","3.64B","0.87%"
"03/18/2020","22,291.82","23,023.34","23,425.03","22,167.42","4.22B","-4.18%"
"03/19/2020","21,709.13","22,221.38","22,380.34","21,139.26","5.63B","-2.61%"
"03/20/2020","22,805.07","22,147.34","22,805.07","22,147.34","4.53B","5.05%"
"03/23/2020","21,696.13","21,659.55","22,064.31","21,659.55","3.48B","-4.86%"
"03/24/2020","22,663.49","22,497.57","22,753.01","22,383.25","3.61B","4.46%"
"03/25/2020","23,527.19","23,255.91","23,569.45","23,062.23","3.61B","3.81%"
"03/26/2020","23,352.34","23,604.83","23,604.83","23,163.67","2.52B","-0.74%"
"03/27/2020","23,484.28","23,768.41","23,791.20","23,354.01","2.20B","0.56%"
"03/30/2020","23,175.11","23,020.85","23,491.51","22,973.33","2.55B","-1.32%"
"03/31/2020","23,603.48","23,613.27","23,627.53","23,238.04","2.88B","1.85%"
"04/01/2020","23,085.79","23,365.90","23,540.01","22,947.64","2.88B","-2.19%"
"04/02/2020","23,280.06","22,838.67","23,280.06","22,756.13","2.56B","0.84%"
"04/03/2020","23,236.11","23,072.95","23,236.11","23,030.58","1.87B","-0.19%"
"04/06/2020","23,749.12","23,558.83","23,832.93","23,271.47","1.83B","2.21%"
"04/07/2020","24,253.29","24,093.05","24,262.01","23,796.03","2.54B","2.12%"
"04/08/2020","23,970.37","24,191.32","24,191.32","23,897.40","1.84B","-1.17%"
"04/09/2020","24,300.33","24,181.32","24,308.69","24,045.18","1.73B","1.38%"
"04/14/2020","24,435.40","24,347.61","24,546.39","24,283.13","2.05B","0.56%"
"04/15/2020","24,145.34","24,499.86","24,603.60","24,090.50","1.91B","-1.19%"
"04/16/2020","24,006.45","24,025.45","24,102.91","23,854.79","1.87B","-0.58%"
"04/17/2020","24,380.00","24,457.83","24,666.64","24,308.78","1.94B","1.56%"
"04/20/2020","24,330.02","24,503.56","24,503.56","24,225.55","1.38B","-0.21%"
"04/21/2020","23,793.55","24,247.84","24,247.84","23,676.13","2.16B","-2.20%"
"04/22/2020","23,893.36","23,540.54","23,939.29","23,483.31","1.67B","0.42%"
"04/23/2020","23,977.32","23,983.65","24,107.88","23,806.30","1.81B","0.35%"
"04/24/2020","23,831.33","23,844.55","23,957.17","23,730.49","1.30B","-0.61%"
"04/27/2020","24,280.14","24,030.66","24,318.81","24,030.54","1.59B","1.88%"
"04/28/2020","24,575.96","24,401.12","24,582.66","24,176.88","1.69B","1.22%"
"04/29/2020","24,643.59","24,786.02","24,855.47","24,549.62","1.65B","0.28%"
"05/04/2020","23,613.80","23,895.11","23,897.53","23,584.95","2.56B","-4.18%"
"05/05/2020","23,868.66","23,755.77","23,928.45","23,697.88","1.33B","1.08%"
"05/06/2020","24,137.48","23,868.02","24,235.03","23,868.02","1.89B","1.13%"
"05/07/2020","23,980.63","24,120.81","24,120.81","23,913.50","1.32B","-0.65%"
"05/08/2020","24,230.17","24,193.36","24,263.73","24,097.12","1.27B","1.04%"
"05/11/2020","24,602.06","24,470.18","24,766.83","24,470.18","1.46B","1.53%"
"05/12/2020","24,245.68","24,358.00","24,411.04","24,136.20","1.48B","-1.45%"
"05/13/2020","24,180.30","24,111.67","24,320.20","23,979.37","1.36B","-0.27%"
"05/14/2020","23,829.74","24,038.07","24,081.19","23,790.27","1.70B","-1.45%"
"05/15/2020","23,797.47","23,834.68","23,985.12","23,671.61","1.51B","-0.14%"
"05/18/2020","23,934.77","23,736.67","23,952.05","23,722.17","1.65B","0.58%"
"05/19/2020","24,388.13","24,489.55","24,552.55","24,314.45","2.02B","1.89%"
"05/20/2020","24,399.95","24,462.90","24,514.87","24,315.75","1.43B","0.05%"
"05/21/2020","24,280.03","24,528.91","24,528.91","24,208.16","1.47B","-0.49%"
"05/22/2020","22,930.14","23,756.91","23,756.91","22,878.26","3.68B","-5.56%"
"05/25/2020","22,952.24","22,725.70","22,968.65","22,519.73","1.77B","0.10%"
"05/26/2020","23,384.66","23,198.34","23,481.48","23,165.49","1.42B","1.88%"
"05/27/2020","23,301.36","23,515.14","23,515.14","23,134.61","1.84B","-0.36%"
"05/28/2020","23,132.76","23,206.75","23,451.78","22,779.62","2.36B","-0.72%"
"05/29/2020","22,961.47","22,781.11","23,089.77","22,781.11","3.62B","-0.74%"
"06/01/2020","23,732.52","23,539.91","23,806.32","23,539.91","2.57B","3.36%"
"06/02/2020","23,995.94","23,792.24","23,995.94","23,766.15","1.81B","1.11%"
"06/03/2020","24,325.62","24,303.56","24,364.01","24,219.96","2.46B","1.37%"
"06/04/2020","24,366.30","24,643.84","24,643.84","24,204.10","1.89B","0.17%"
"06/05/2020","24,770.41","24,388.18","24,810.22","24,253.56","2.40B","1.66%"
"06/08/2020","24,776.77","25,018.05","25,018.78","24,678.55","2.12B","0.03%"
"06/09/2020","25,057.22","24,906.01","25,253.67","24,837.73","2.20B","1.13%"
"06/10/2020","25,049.73","25,179.03","25,303.78","24,968.30","1.97B","-0.03%"
"06/11/2020","24,480.15","24,997.84","25,059.32","24,480.15","1.84B","-2.27%"
"06/12/2020","24,301.38","23,920.70","24,317.72","23,895.03","1.82B","-0.73%"
"06/15/2020","23,776.95","23,991.38","24,242.97","23,684.96","2.10B","-2.16%"
"06/16/2020","24,344.09","24,318.15","24,534.77","24,302.25","1.61B","2.39%"
"06/17/2020","24,481.41","24,363.39","24,532.01","24,195.82","1.28B","0.56%"
"06/18/2020","24,464.94","24,386.31","24,464.94","24,121.89","1.81B","-0.07%"
"06/19/2020","24,643.89","24,373.36","24,776.54","24,334.36","2.39B","0.73%"
"06/22/2020","24,511.34","24,528.53","24,628.95","24,391.17","1.61B","-0.54%"
"06/23/2020","24,907.34","24,541.44","24,907.34","24,184.88","1.55B","1.62%"
"06/24/2020","24,781.58","25,034.87","25,071.32","24,770.95","1.43B","-0.50%"
"06/26/2020","24,549.99","24,697.98","24,756.58","24,537.77","1.51B","-0.93%"
"06/29/2020","24,301.28","24,627.64","24,627.64","24,148.62","1.84B","-1.01%"
"06/30/2020","24,427.19","24,468.24","24,598.61","24,271.77","1.89B","0.52%"
"07/02/2020","25,124.19","24,563.57","25,124.19","24,563.57","2.75B","2.85%"
"07/03/2020","25,373.12","25,319.28","25,453.58","25,182.60","2.32B","0.99%"
"07/06/2020","26,339.16","25,545.54","26,453.61","25,543.15","4.88B","3.81%"
"07/07/2020","25,975.66","26,571.08","26,782.62","25,911.74","3.91B","-1.38%"
"07/08/2020","26,129.18","26,078.61","26,299.84","25,849.78","2.58B","0.59%"
"07/09/2020","26,210.16","26,351.13","26,374.94","26,016.75","2.45B","0.31%"
"07/10/2020","25,727.41","25,931.78","26,137.91","25,570.36","2.14B","-1.84%"
"07/13/2020","25,772.12","25,848.80","26,103.84","25,715.24","2.13B","0.17%"
"07/14/2020","25,477.89","25,663.16","25,663.16","25,254.32","2.18B","-1.14%"
"07/15/2020","25,481.58","25,888.78","25,888.78","25,299.36","1.85B","0.01%"
"07/16/2020","24,970.69","25,549.40","25,576.49","24,919.95","1.94B","-2.00%"
"07/17/2020","25,089.17","25,142.06","25,263.97","25,015.28","1.36B","0.47%"
"07/20/2020","25,057.99","25,019.60","25,222.11","24,766.17","1.65B","-0.12%"
"07/21/2020","25,635.66","25,427.06","25,635.66","25,378.38","1.75B","2.31%"
"07/22/2020","25,057.94","25,575.25","25,779.66","25,057.94","2.39B","-2.25%"
"07/23/2020","25,263.00","25,235.90","25,346.36","24,992.37","1.91B","0.82%"
"07/24/2020","24,705.33","25,040.76","25,101.10","24,598.46","3.03B","-2.21%"
"07/27/2020","24,603.26","24,909.96","24,972.46","24,526.91","1.49B","-0.41%"
"07/28/2020","24,772.76","24,942.74","24,942.74","24,642.35","1.36B","0.69%"
"07/29/2020","24,883.14","24,710.51","24,905.44","24,671.51","1.08B","0.45%"
"07/30/2020","24,710.59","24,979.24","25,197.31","24,616.05","1.78B","-0.69%"
"07/31/2020","24,595.35","24,747.29","24,938.85","24,534.79","1.76B","-0.47%"
"08/03/2020","24,458.13","24,566.81","24,647.28","24,250.98","2.01B","-0.56%"
"08/04/2020","24,946.63","24,664.60","25,062.41","24,539.44","1.91B","2.00%"
"08/05/2020","25,102.54","25,029.39","25,167.22","24,868.29","1.48B","0.62%"
"08/06/2020","24,930.58","25,201.44","25,201.44","24,641.09","1.60B","-0.69%"
"08/07/2020","24,531.62","24,909.37","24,909.37","24,167.79","1.61B","-1.60%"
"08/10/2020","24,377.43","24,376.82","24,536.01","24,272.67","1.26B","-0.63%"
"08/11/2020","24,890.68","24,662.04","25,031.57","24,662.04","1.63B","2.11%"
"08/12/2020","25,244.02","24,868.63","25,291.80","24,685.44","1.76B","1.42%"
"08/13/2020","25,230.67","25,490.02","25,490.02","25,144.46","1.76B","-0.05%"
"08/14/2020","25,183.01","25,072.45","25,378.53","25,040.55","1.43B","-0.19%"
"08/17/2020","25,347.34","25,212.28","25,588.67","25,163.29","1.96B","0.65%"
"08/18/2020","25,367.38","25,470.97","25,470.97","25,257.88","1.53B","0.08%"
"08/19/2020","25,178.91","25,359.03","25,382.51","25,079.25","1.13B","-0.74%"
"08/20/2020","24,791.39","25,055.35","25,055.35","24,621.32","2.00B","-1.54%"
"08/21/2020","25,113.84","25,007.13","25,178.79","24,885.86","1.21B","1.30%"
"08/24/2020","25,551.58","25,352.79","25,551.58","25,325.15","1.35B","1.74%"
"08/25/2020","25,486.22","25,586.99","25,621.08","25,352.26","1.35B","-0.26%"
"08/26/2020","25,491.79","25,520.41","25,603.17","25,360.03","1.32B","0.02%"
"08/27/2020","25,281.15","25,469.77","25,469.77","25,186.42","1.70B","-0.83%"
"08/28/2020","25,422.06","25,330.77","25,749.40","25,258.16","2.07B","0.56%"
"08/31/2020","25,177.05","25,732.49","25,847.11","25,177.05","3.20B","-0.96%"
"09/01/2020","25,184.85","25,085.67","25,254.14","24,995.45","1.73B","0.03%"
"09/02/2020","25,120.09","25,239.86","25,239.86","24,931.17","2.35B","-0.26%"
"09/03/2020","25,007.60","25,026.99","25,216.02","24,854.58","2.01B","-0.45%"
"09/04/2020","24,695.45","24,668.80","24,813.96","24,488.64","3.39B","-1.25%"
"09/07/2020","24,589.65","24,621.02","24,908.29","24,475.61","1.68B","-0.43%"
