"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2019","23,409.14","23,458.88","23,482.32","23,367.33","","-0.12%"
"11/29/2019","23,293.91","23,497.44","23,498.77","23,273.37","","-0.49%"
"12/02/2019","23,529.50","23,388.63","23,562.05","23,378.40","","1.01%"
"12/03/2019","23,379.81","23,231.14","23,388.18","23,186.84","","-0.64%"
"12/04/2019","23,135.23","23,186.74","23,203.77","23,044.78","","-1.05%"
"12/05/2019","23,300.09","23,292.70","23,363.44","23,259.82","","0.71%"
"12/06/2019","23,354.40","23,347.67","23,412.48","23,338.40","","0.23%"
"12/09/2019","23,430.70","23,544.31","23,544.31","23,360.01","","0.33%"
"12/10/2019","23,410.19","23,372.39","23,449.47","23,336.93","","-0.09%"
"12/11/2019","23,391.86","23,421.14","23,438.43","23,333.63","","-0.08%"
"12/12/2019","23,424.81","23,449.28","23,468.15","23,360.43","","0.14%"
"12/13/2019","24,023.10","23,810.56","24,050.04","23,775.73","","2.55%"
"12/16/2019","23,952.35","23,955.20","24,036.30","23,950.05","","-0.29%"
"12/17/2019","24,066.12","24,091.12","24,091.12","23,996.51","","0.47%"
"12/18/2019","23,934.43","24,023.27","24,046.09","23,919.36","","-0.55%"
"12/19/2019","23,864.85","23,911.46","23,945.53","23,835.29","","-0.29%"
"12/20/2019","23,816.63","23,893.45","23,908.77","23,746.63","","-0.20%"
"12/23/2019","23,821.11","23,921.29","23,923.09","23,810.82","","0.02%"
"12/24/2019","23,830.58","23,839.18","23,853.56","23,796.35","","0.04%"
"12/25/2019","23,782.87","23,813.59","23,824.85","23,782.87","","-0.20%"
"12/26/2019","23,924.92","23,787.70","23,931.51","23,775.40","","0.60%"
"12/27/2019","23,837.72","23,953.75","23,967.18","23,837.72","","-0.36%"
"12/30/2019","23,656.62","23,770.93","23,782.49","23,656.62","","-0.76%"
"01/06/2020","23,204.86","23,319.76","23,365.36","23,148.53","","-1.91%"
"01/07/2020","23,575.72","23,320.12","23,577.44","23,299.92","","1.60%"
"01/08/2020","23,204.76","23,217.49","23,303.21","22,951.18","","-1.57%"
"01/09/2020","23,739.87","23,530.29","23,767.09","23,506.15","","2.31%"
