"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2013","24.75","24.65","25.15","24.35","6.43K","22.22%"
"06/25/2013","24.05","24.05","24.25","23.55","4.22K","-2.83%"
"06/26/2013","23.10","23.95","24.25","22.70","4.65K","-3.95%"
"06/27/2013","22.45","23.20","23.40","22.25","2.30K","-2.81%"
"06/28/2013","22.60","22.25","23.30","22.25","2.31K","0.67%"
"07/01/2013","22.25","22.15","23.05","21.90","2.73K","-1.55%"
"07/02/2013","22.35","21.95","22.65","21.95","1.86K","0.45%"
"07/03/2013","23.00","22.50","24.15","22.50","5.92K","2.91%"
"07/04/2013","21.60","22.45","22.90","21.40","3.21K","-6.09%"
"07/05/2013","22.65","21.55","22.70","21.30","1.85K","4.86%"
"07/09/2013","21.20","21.40","21.60","21.05","5.20K","-6.40%"
"07/10/2013","21.00","21.05","21.50","20.80","3.19K","-0.94%"
"07/11/2013","19.90","20.40","20.40","19.75","5.25K","-5.24%"
"07/12/2013","19.90","19.60","19.95","19.40","8.45K","0.00%"
"07/15/2013","19.35","19.25","19.65","19.25","3.15K","-2.76%"
"07/16/2013","19.20","19.25","19.50","19.05","7.86K","-0.78%"
"07/17/2013","20.55","19.10","21.15","18.80","4.67K","7.03%"
"07/18/2013","19.70","20.50","20.50","19.60","3.66K","-4.14%"
"07/19/2013","19.55","19.80","19.90","19.45","5.15K","-0.76%"
"07/22/2013","19.30","19.55","19.65","19.15","6.13K","-1.28%"
"07/23/2013","19.20","19.15","19.30","18.95","2.53K","-0.52%"
"07/24/2013","18.85","19.00","19.15","18.65","4.88K","-1.82%"
"07/25/2013","19.30","18.75","19.50","18.75","3.97K","2.39%"
"07/26/2013","19.55","18.85","19.60","18.75","2.67K","1.30%"
"07/29/2013","19.55","19.35","19.70","19.30","2.62K","0.00%"
"07/30/2013","19.50","19.40","19.55","18.95","1.55K","-0.26%"
"07/31/2013","19.20","19.55","19.80","19.20","2.49K","-1.54%"
"08/01/2013","18.65","19.05","19.05","18.45","4.80K","-2.86%"
"08/02/2013","18.35","18.50","18.60","18.20","3.99K","-1.61%"
"08/05/2013","18.20","18.15","18.35","18.10","2.23K","-0.82%"
"08/06/2013","18.70","18.10","18.90","17.70","3.46K","2.75%"
"08/07/2013","18.85","18.70","18.95","18.40","2.45K","0.80%"
"08/08/2013","18.25","18.40","18.80","18.05","3.24K","-3.18%"
"08/09/2013","18.20","18.05","18.45","17.95","3.05K","-0.27%"
"08/12/2013","17.85","18.45","18.80","17.85","2.66K","-1.92%"
"08/13/2013","17.70","17.40","17.90","17.40","3.13K","-0.84%"
"08/14/2013","17.35","17.55","17.60","17.20","5.27K","-1.98%"
"08/15/2013","18.25","17.60","18.80","17.35","5.65K","5.19%"
"08/16/2013","17.50","18.20","18.25","17.35","6.78K","-4.11%"
"08/19/2013","17.55","17.60","17.95","17.40","17.28K","0.29%"
"08/20/2013","19.10","18.10","19.45","18.10","11.95K","8.83%"
"08/21/2013","21.15","18.90","21.15","18.80","7.67K","10.73%"
"08/22/2013","19.95","20.90","21.05","19.90","8.25K","-5.67%"
"08/23/2013","19.55","19.90","20.20","19.40","5.27K","-2.01%"
"08/26/2013","19.45","19.25","19.95","19.25","3.08K","-0.51%"
"08/27/2013","21.40","19.70","21.70","19.35","15.62K","10.03%"
"08/28/2013","22.00","22.15","22.65","21.20","11.50K","2.80%"
"08/29/2013","21.50","21.60","22.00","21.10","6.82K","-2.27%"
"08/30/2013","22.70","21.55","22.70","21.45","4.02K","5.58%"
"09/02/2013","21.75","22.00","22.00","21.40","4.38K","-4.19%"
"09/03/2013","21.95","21.50","22.35","21.50","5.17K","0.92%"
"09/04/2013","22.20","21.95","22.85","21.90","5.96K","1.14%"
"09/05/2013","21.90","22.30","22.65","21.85","5.00K","-1.35%"
"09/06/2013","21.10","21.90","22.00","20.75","7.83K","-3.65%"
"09/09/2013","21.00","21.20","21.35","20.90","2.76K","-0.47%"
"09/10/2013","20.00","20.65","20.65","19.80","6.26K","-4.76%"
"09/11/2013","19.50","20.10","20.10","19.50","3.72K","-2.50%"
"09/12/2013","19.25","19.40","19.50","18.95","5.44K","-1.28%"
"09/13/2013","19.50","19.50","19.75","19.20","2.71K","1.30%"
"09/16/2013","19.15","19.15","19.40","18.75","13.37K","-1.79%"
"09/17/2013","19.30","19.30","19.55","19.15","6.70K","0.78%"
"09/18/2013","18.60","19.40","19.55","18.60","3.43K","-3.63%"
"09/19/2013","18.85","19.00","19.05","18.50","5.06K","1.34%"
"09/20/2013","18.45","19.00","19.00","18.30","4.99K","-2.12%"
"09/23/2013","18.60","18.40","18.85","18.05","5.53K","0.81%"
"09/24/2013","18.10","18.60","18.60","18.10","4.30K","-2.69%"
"09/25/2013","18.05","18.35","18.40","18.00","2.77K","-0.28%"
"09/26/2013","17.95","17.80","18.30","17.80","2.49K","-0.55%"
"09/27/2013","18.25","17.90","18.35","17.80","4.76K","1.67%"
"09/30/2013","19.20","18.75","19.35","18.75","10.19K","5.21%"
"10/01/2013","18.85","18.85","19.30","18.70","6.48K","-1.82%"
"10/02/2013","19.25","19.00","19.70","19.00","6.58K","2.12%"
"10/03/2013","20.10","19.20","20.10","19.20","5.75K","4.42%"
"10/04/2013","20.10","20.00","20.30","19.75","3.74K","0.00%"
"10/07/2013","20.45","20.65","21.00","20.40","5.70K","1.74%"
"10/08/2013","21.30","20.65","21.35","20.50","7.16K","4.16%"
"10/09/2013","22.50","21.40","22.55","21.25","8.59K","5.63%"
"10/10/2013","20.30","21.75","21.75","20.10","7.20K","-9.78%"
"10/11/2013","18.90","20.20","20.20","18.90","9.70K","-6.90%"
"10/14/2013","19.85","19.50","19.95","19.20","7.75K","5.03%"
"10/15/2013","18.45","19.20","19.20","18.25","10.76K","-7.05%"
"10/16/2013","19.40","19.00","20.10","19.00","15.67K","5.15%"
"10/17/2013","18.20","19.30","19.30","18.20","12.12K","-6.19%"
"10/18/2013","17.55","18.25","18.25","17.55","8.89K","-3.57%"
"10/21/2013","17.60","17.55","17.80","17.50","7.72K","0.28%"
"10/22/2013","17.40","17.90","17.90","17.10","9.39K","-1.14%"
"10/23/2013","17.90","17.70","18.05","17.60","3.48K","2.87%"
"10/24/2013","17.35","17.65","17.65","17.35","5.51K","-3.07%"
"10/25/2013","17.25","17.50","17.65","17.25","1.83K","-0.58%"
"10/28/2013","17.30","17.15","17.70","17.15","3.48K","0.29%"
"10/29/2013","16.90","17.50","17.50","16.85","3.10K","-2.31%"
"10/30/2013","17.10","16.90","17.30","16.65","3.90K","1.18%"
"10/31/2013","16.95","17.10","17.25","16.80","4.75K","-0.88%"
"11/01/2013","17.15","17.10","17.35","16.95","2.77K","1.18%"
"11/04/2013","17.15","17.00","17.25","17.00","1.56K","0.00%"
"11/05/2013","17.25","17.00","17.50","16.90","7.17K","0.58%"
"11/06/2013","17.10","17.05","17.20","16.75","2.58K","-0.87%"
"11/07/2013","17.15","17.10","17.30","16.50","7.36K","0.29%"
"11/08/2013","17.35","17.55","17.75","17.10","13.68K","1.17%"
"11/11/2013","17.40","17.40","17.50","17.10","2.02K","0.29%"
"11/12/2013","17.45","17.15","17.45","17.10","1.95K","0.29%"
"11/13/2013","17.55","17.55","18.00","17.30","8.27K","0.57%"
"11/14/2013","16.60","16.90","17.05","16.50","8.60K","-5.41%"
"11/15/2013","16.25","16.55","16.60","16.10","4.73K","-2.11%"
"11/18/2013","15.75","16.40","16.45","15.50","8.38K","-3.08%"
"11/19/2013","15.85","15.85","16.10","15.75","4.98K","0.63%"
"11/20/2013","16.40","15.90","16.75","15.15","18.43K","3.47%"
"11/21/2013","16.20","16.75","16.90","16.15","14.32K","-1.22%"
"11/22/2013","16.15","16.10","16.15","16.00","4.76K","-0.31%"
"11/24/2013","16.15","16.15","16.15","16.15","","0.00%"
"11/25/2013","15.85","15.90","15.95","15.75","4.11K","-1.86%"
"11/26/2013","15.75","15.70","15.80","15.50","3.26K","-0.63%"
"11/27/2013","15.55","15.70","15.75","15.50","3.69K","-1.27%"
"11/28/2013","15.35","15.50","15.50","15.25","2.57K","-1.29%"
"11/29/2013","15.80","15.55","15.80","15.25","6.46K","2.93%"
"12/01/2013","15.80","15.80","15.80","15.80","","0.00%"
"12/02/2013","15.95","15.75","16.05","15.75","3.87K","0.95%"
"12/03/2013","16.60","15.90","16.65","15.90","12.74K","4.08%"
"12/04/2013","16.90","16.65","17.50","16.30","21.38K","1.81%"
"12/05/2013","17.00","16.70","17.00","16.25","10.74K","0.59%"
"12/06/2013","16.35","16.85","17.00","16.20","18.33K","-3.82%"
"12/09/2013","15.95","16.10","16.30","15.75","11.56K","-2.45%"
"12/10/2013","16.15","16.00","16.30","15.60","9.70K","1.25%"
"12/11/2013","16.65","16.10","16.65","15.90","12.33K","3.10%"
"12/14/2013","17.30","17.30","17.30","17.30","","3.90%"
"12/16/2013","17.45","17.20","17.45","16.95","10.55K","0.87%"
"12/17/2013","18.15","17.80","18.45","17.80","26.68K","4.01%"
"12/18/2013","18.05","17.85","18.20","17.00","11.73K","-0.55%"
"12/19/2013","17.30","17.50","17.55","17.05","9.20K","-4.16%"
"12/20/2013","17.20","17.35","17.35","16.75","5.95K","-0.58%"
"12/23/2013","17.10","17.15","17.35","17.00","2.40K","-0.58%"
"12/25/2013","17.10","17.10","17.10","17.10","","0.00%"
"12/26/2013","17.10","17.10","17.10","17.10","","0.00%"
"12/27/2013","16.95","16.55","17.00","16.55","2.52K","-0.88%"
"12/29/2013","16.95","16.95","16.95","16.95","","0.00%"
"12/30/2013","17.00","16.80","17.25","16.70","4.39K","0.29%"
"01/02/2014","17.95","17.00","18.10","16.95","9.99K","5.59%"
"01/03/2014","17.75","18.20","18.20","17.45","4.44K","-1.11%"
"01/06/2014","17.80","17.80","17.85","17.35","4.92K","0.28%"
"01/07/2014","17.15","17.60","17.80","17.05","4.27K","-3.65%"
"01/08/2014","17.45","17.00","17.65","16.90","3.16K","1.75%"
"01/09/2014","17.60","17.35","17.65","16.95","4.98K","0.86%"
"01/10/2014","16.85","17.35","17.35","16.80","7.17K","-4.26%"
"01/13/2014","16.90","16.70","16.95","16.55","7.99K","0.30%"
"01/14/2014","16.75","17.50","17.70","16.75","5.90K","-0.89%"
"01/15/2014","16.60","16.70","16.70","16.30","7.56K","-0.90%"
"01/16/2014","16.95","16.55","17.10","16.45","16.50K","2.11%"
"01/17/2014","16.45","16.80","16.85","16.40","6.55K","-2.95%"
"01/20/2014","16.10","16.50","16.50","16.05","8.25K","-2.13%"
"01/21/2014","16.00","16.00","16.05","15.55","13.36K","-0.62%"
"01/22/2014","17.40","15.55","17.65","15.55","9.48K","8.75%"
"01/23/2014","18.05","17.55","18.25","17.25","9.87K","3.74%"
"01/24/2014","19.85","17.70","19.85","17.70","18.95K","9.97%"
"01/27/2014","19.75","19.50","19.90","18.95","18.88K","-0.50%"
"01/28/2014","19.40","19.30","19.65","19.05","7.38K","-1.77%"
"01/29/2014","19.90","18.85","20.70","18.45","13.11K","2.58%"
