"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2026","17.60","19.15","19.15","17.50","34.31K","-7.12%"
"09/10/2026","18.95","18.05","19.25","17.80","27.76K","4.99%"
"09/09/2026","18.05","16.90","18.25","16.85","31.77K","7.12%"
"09/08/2026","16.85","16.50","17.20","16.50","20.12K","1.51%"
"09/07/2026","16.60","16.45","16.65","16.45","5.80K","0.91%"
"09/04/2026","16.45","16.55","16.70","16.30","12.82K","-2.66%"
"09/03/2026","16.90","17.20","17.40","16.60","14.01K","-2.59%"
"09/02/2026","17.35","17.50","17.85","17.15","16.00K","-0.29%"
"09/01/2026","17.40","17.10","17.75","17.00","16.33K","0.87%"
"08/31/2026","17.25","17.20","17.30","16.85","9.08K","2.99%"
"08/28/2026","16.75","17.15","17.25","16.75","15.08K","-3.46%"
"08/27/2026","17.35","17.25","17.45","17.15","8.32K","0.29%"
"08/26/2026","17.30","17.25","17.40","17.20","4.48K","-0.29%"
"08/25/2026","17.35","17.50","17.55","17.25","9.84K","-0.86%"
"08/24/2026","17.50","17.65","17.75","17.40","9.73K","-0.57%"
"08/21/2026","17.60","17.80","18.00","17.55","9.20K","-1.68%"
"08/20/2026","17.90","17.70","18.10","17.50","13.00K","10.29%"
"08/19/2026","16.23","16.10","16.50","15.75","0.81K","-1.93%"
"08/18/2026","16.55","16.00","16.90","15.50","21.63K","5.41%"
"08/17/2026","15.70","15.70","15.90","15.55","33.02K","-0.95%"
"08/14/2026","15.85","16.00","16.10","15.70","25.55K","-1.86%"
"08/13/2026","16.15","16.30","16.40","16.00","10.92K","-2.71%"
"08/12/2026","16.60","16.75","16.85","16.20","24.91K","-1.19%"
"08/11/2026","16.80","16.90","17.00","16.65","13.14K","0.30%"
"08/10/2026","16.75","17.00","17.00","16.65","7.79K","-0.30%"
"08/07/2026","16.80","17.25","17.35","16.80","14.88K","-1.75%"
"08/06/2026","17.10","17.25","17.45","16.95","14.66K","-2.29%"
"08/05/2026","17.50","17.65","17.70","17.05","14.76K","1.16%"
